iter	Passed	Remaining
0	2233	1114274
1	4658	1159892
2	7071	1171544
3	9458	1172834
4	11995	1187601
5	14373	1183443
6	16951	1193892
7	19411	1193827
8	21887	1194063
9	24574	1204148
10	27345	1215650
11	30633	1245756
12	33809	1266545
13	36880	1280278
14	40123	1297318
15	43960	1329790
16	47177	1340387
17	50386	1349235
18	53475	1353785
19	56664	1359958
20	59422	1355403
21	62404	1355877
22	65196	1352119
23	68214	1352914
24	71004	1349080
25	74006	1349191
26	76738	1344337
27	79720	1343861
28	82541	1340593
29	85568	1340568
30	88457	1338276
31	91341	1335874
32	94692	1340037
33	97540	1336880
34	100713	1338055
35	103462	1333517
36	106490	1332572
37	109252	1328279
38	112260	1326977
39	115017	1322699
40	118002	1321047
41	120821	1317530
42	123748	1315192
43	126635	1312404
44	129517	1309568
45	132668	1309383
46	135507	1306057
47	139016	1309070
48	142264	1309410
49	145318	1307866
50	148193	1304686
51	151649	1306515
52	154522	1303235
53	157682	1302339
54	160821	1301192
55	164065	1300808
56	167328	1300464
57	170760	1301314
58	173862	1299545
59	177031	1298232
60	179828	1294174
61	182907	1292151
62	185986	1290098
63	189037	1287819
64	191846	1283898
65	194944	1281907
66	197785	1278223
67	200985	1276845
68	204043	1274529
69	207095	1272155
70	210043	1269134
71	213415	1268634
72	216248	1264907
73	219328	1262618
74	222149	1258846
75	225124	1255956
76	227954	1252272
77	230850	1248959
78	233745	1245656
79	236560	1241941
80	239576	1239293
81	242391	1235607
82	245473	1233283
83	248401	1230176
84	251563	1228219
85	254392	1224632
86	257682	1223249
87	260560	1219897
88	263643	1217501
89	266583	1214434
90	269668	1212026
91	272521	1208572
92	275526	1205797
93	278511	1202930
94	281664	1200781
95	284494	1197248
96	287655	1195105
97	290465	1191501
98	293649	1189429
99	296703	1186813
100	300176	1185847
101	303305	1183484
102	306633	1181877
103	309678	1179160
104	312809	1176761
105	315830	1173936
106	319003	1171665
107	322283	1169771
108	325809	1168728
109	329333	1167635
110	332953	1166836
